지점,지점명,일시,합계 일사량(MJ/m2)
105,강릉,2022-04,608.19
105,강릉,2022-05,686.93
105,강릉,2022-06,521.63
105,강릉,2022-07,501.77
105,강릉,2022-08,412.6
105,강릉,2022-09,490.88
105,강릉,2022-10,357.53
105,강릉,2022-11,271.9
105,강릉,2022-12,204.7
105,강릉,2023-01,292.78
105,강릉,2023-02,301.86
105,강릉,2023-03,455.52
105,강릉,2023-04,525.25
105,강릉,2023-05,587.65
105,강릉,2023-06,605.53
105,강릉,2023-07,504.59
105,강릉,2023-08,432.89
105,강릉,2023-09,377.35
105,강릉,2023-10,387.14
105,강릉,2023-11,303.29
105,강릉,2023-12,237.24
105,강릉,2024-01,275.84
105,강릉,2024-02,204.83
105,강릉,2024-03,440.45
105,강릉,2024-04,504.13
105,강릉,2024-05,649.98
105,강릉,2024-06,618.53
105,강릉,2024-07,472.88
105,강릉,2024-08,565.58
105,강릉,2024-09,343.86
105,강릉,2024-10,300.64
105,강릉,2024-11,247.54
105,강릉,2024-12,273.21
105,강릉,2025-01,293.65
105,강릉,2025-02,385.14
105,강릉,2025-03,441.54
105,강릉,2025-04,550.96
105,강릉,2025-05,587.7
105,강릉,2025-06,599.22
105,강릉,2025-07,578.5
105,강릉,2025-08,526.82
105,강릉,2025-09,224.39
105,강릉,2025-10,186.93
105,강릉,2025-11,312.06
105,강릉,2025-12,247.67
106,동해,2022-08,0
106,동해,2024-04,216.02
106,동해,2024-05,673.75
106,동해,2024-06,686.36
106,동해,2024-07,496
106,동해,2024-08,605.86
106,동해,2024-09,386.7
106,동해,2024-10,306.6
106,동해,2024-11,169.29
106,동해,2024-12,290.53
106,동해,2025-01,307.94
106,동해,2025-02,406.97
106,동해,2025-03,459.59
106,동해,2025-04,614.7
106,동해,2025-05,638.77
106,동해,2025-06,636.08
106,동해,2025-07,652.67
106,동해,2025-08,563.63
106,동해,2025-09,379.52
106,동해,2025-10,225.83
106,동해,2025-11,327.26
106,동해,2025-12,261.19
108,서울,2016-01,246.52
108,서울,2016-02,288.43
108,서울,2016-03,432.76
108,서울,2016-04,460.4
108,서울,2016-05,594.54
108,서울,2016-06,508.07
108,서울,2016-07,403.01
108,서울,2016-08,468.05
108,서울,2016-09,370.92
108,서울,2016-10,318.14
